hen_lay,region_shortname,province_name,district_name,ward_name,deliver_warehouse_id,warehouse_name,nhom_kh,nhom_kl,so_don
2026-07-24,DNB,Bình Phước,Huyện Bù Đăng,Xã Đăng Hà,2066900000.00%,(LDO) Cát Tiên,Shopee-Bulky,30-50kg,1
2026-07-24,NTB,Đắk Nông,Huyện Đắk Song,Xã Thuận Hạnh,2147700000.00%,(DNO) Đức An,Shopee-Bulky,30-50kg,1
2026-07-24,NTB,Lâm Đồng,Huyện Đạ Huoai,Thị trấn Đạ Tẻh,2066300000.00%,(LDO) Đạ Tẻh,Shopee-Bulky,30-50kg,3
2026-07-24,NTB,Đắk Nông,Huyện Đắk Song,Xã Nâm N'Jang,2208600000.00%,(DNO) Trường Xuân,Shopee-Bulky,30-50kg,1
2026-07-24,NTB,Bình Thuận,Huyện Tánh Linh,Thị trấn Lạc Tánh,235700.00%,(BTH) Đồng Kho,Shopee-Bulky,30-50kg,1
2026-07-24,NTB,Bình Thuận,Huyện Đức Linh,Xã Đa Kai,2145600000.00%,(BTH) Đức Linh,SME,30-50kg,1
2026-07-24,NTB,Ninh Thuận,Huyện Ninh Phước,Xã Phước Vinh,2049900000.00%,(NTH) Phước Dinh,SME,30-50kg,1
2026-07-24,NTB,Đắk Nông,Huyện Đắk R lấp,Xã Kiến Thành,2026900000.00%,(DNO) Kiến Đức,SME,30-50kg,1
2026-07-24,NTB,Khánh Hòa,Thị xã Ninh Hòa,Phường Ninh Hà,2054300000.00%,(KHO) Ninh Hòa 2,Shopee-Bulky,30-50kg,1
2026-07-24,NTB,Lâm Đồng,Huyện Đơn Dương,Xã Lạc Xuân,2137700000.00%,(LDO) Đơn Dương,Shopee-Bulky,30-50kg,1
2026-07-24,NTB,Khánh Hòa,Thành phố Cam Ranh,Xã Cam Bình,2283000000.00%,(KHO) Cam Linh,Shopee-Bulky,30-50kg,1
2026-07-24,NTB,Lâm Đồng,Huyện Bảo Lâm,Xã Lộc Thành,2301500000.00%,(LDO) Bảo Lâm 3,Shopee-Bulky,30-50kg,1
2026-07-24,NTB,Khánh Hòa,Thành phố Nha Trang,Xã Vĩnh Thạnh,2277400000.00%,(KHO) Diên Khánh 1,SME,30-50kg,1
2026-07-24,NTB,Lâm Đồng,Huyện Đam Rông,Xã Đạ K' Nàng,2067000000.00%,(LDO) Đam Rông 3,SME,30-50kg,1
2026-07-24,NTB,Khánh Hòa,Huyện Vạn Ninh,Xã Vạn Lương,2104600000.00%,(KHO) Vạn Ninh,Shopee-Bulky,30-50kg,1
2026-07-24,NTB,Khánh Hòa,Thành phố Nha Trang,Phường Phước Hòa,2270400000.00%,(KHO) Nam Nha Trang 2,SME,30-50kg,1
2026-07-24,NTB,Bình Thuận,Huyện Hàm Thuận Nam,Thị trấn Thuận Nam,2106500000.00%,(BTH) Hàm Thuận Nam,Shopee-Bulky,30-50kg,2
2026-07-24,NTB,Bình Thuận,Huyện Hàm Thuận Nam,Xã Hàm Thạnh,2129000000.00%,(BTH) Tuyên Quang,Shopee-Bulky,30-50kg,1
2026-07-24,NTB,Bình Thuận,Huyện Hàm Thuận Bắc,Thị trấn Phú Long,2140300000.00%,(BTH) Hàm Liêm,Shopee-Bulky,30-50kg,1
2026-07-24,NTB,Khánh Hòa,Huyện Vạn Ninh,Xã Vạn Phú,2104600000.00%,(KHO) Vạn Ninh,SME,30-50kg,1
2026-07-24,NTB,Khánh Hòa,Thị xã Ninh Hòa,Phường Ninh Hải,2156900000.00%,(KHO) Đông Ninh Hòa,Shopee-Bulky,30-50kg,1
2026-07-24,NTB,Bình Thuận,Huyện Đức Linh,Xã Đức Tín,2145600000.00%,(BTH) Đức Linh,Shopee-Bulky,30-50kg,1
2026-07-24,NTB,Lâm Đồng,Huyện Đạ Huoai,Xã Ma Đa Guôi,189600.00%,(LDO) Đạ Huoai,Shopee-Bulky,30-50kg,1
2026-07-24,NTB,Lâm Đồng,Huyện Đơn Dương,Xã Quảng Lập,2137700000.00%,(LDO) Đơn Dương,SME,30-50kg,1
2026-07-24,NTB,Đắk Nông,Huyện Đắk Mil,Xã Đắk Gằn,230900.00%,(DNO) Đức Lập,SME,30-50kg,2
2026-07-24,NTB,Ninh Thuận,Huyện Thuận Bắc,Xã Bắc Phong,2286100000.00%,(NTH) Phan Rang,SME,30-50kg,1
2026-07-24,NTB,Đắk Nông,Huyện Đắk Song,Xã Đắk Môl,2147700000.00%,(DNO) Đức An,SME,30-50kg,1
2026-07-24,NTB,Khánh Hòa,Huyện Diên Khánh,Xã Diên An,2277400000.00%,(KHO) Diên Khánh 1,SME,30-50kg,1
2026-07-24,NTB,Đắk Nông,Huyện Cư Jút,Xã Trúc Sơn,2067300000.00%,(DNO) Cư Jút,Shopee-Bulky,30-50kg,1
2026-07-24,NTB,Đắk Nông,Huyện Cư Jút,Thị trấn Ea T'Ling,2067300000.00%,(DNO) Cư Jút,SME,30-50kg,6
2026-07-24,NTB,Bình Thuận,Huyện Hàm Thuận Bắc,Xã Hồng Sơn,2248300000.00%,(BTH) Hàm Thuận,Shopee-Bulky,30-50kg,1
2026-07-24,NTB,Đắk Nông,Huyện Krông Nô,Xã Nâm N'Đir,2059100000.00%,(DNO) Krông Nô,SME,30-50kg,1
2026-07-24,NTB,Lâm Đồng,Huyện Lâm Hà,Xã Tân Thanh,2242500000.00%,(LDO) Tân Hà Lâm Hà,Shopee-Bulky,30-50kg,1
2026-07-24,NTB,Đắk Nông,Huyện Cư Jút,Xã Ea Pô,2067300000.00%,(DNO) Cư Jút,SME,30-50kg,2
2026-07-24,NTB,Khánh Hòa,Huyện Cam Lâm,Xã Cam An Bắc,2058800000.00%,(KHO) Cam Lâm 2,SME,30-50kg,1
2026-07-24,NTB,Bình Thuận,Huyện Hàm Thuận Bắc,Xã Hồng Sơn,2248300000.00%,(BTH) Hàm Thuận,SME,30-50kg,2
