ngay_tao_don,region_shortname,province_name,district_name,ward_name,deliver_warehouse_id,warehouse_name,nhom_kh,nhom_kl,so_don
2026-09-06,NTB,Khánh Hòa,Thành phố Nha Trang,Phường Vĩnh Hải,239900.00%,(KHO) Bắc Nha Trang,SHOPEE Bulky,2. 20-30kg,4
2026-09-06,NTB,Khánh Hòa,Thành phố Nha Trang,Xã Vĩnh Lương,239900.00%,(KHO) Bắc Nha Trang,SME,2. 20-30kg,1
2026-09-06,NTB,Khánh Hòa,Thành phố Nha Trang,Phường Vĩnh Hòa,239900.00%,(KHO) Bắc Nha Trang,SME,2. 20-30kg,1
2026-09-06,NTB,Khánh Hòa,Thành phố Nha Trang,Phường Vĩnh Phước,239900.00%,(KHO) Bắc Nha Trang,SME,2. 20-30kg,1
2026-09-06,NTB,Khánh Hòa,Thành phố Nha Trang,Phường Vĩnh Hòa,239900.00%,(KHO) Bắc Nha Trang,SHOPEE Bulky,2. 20-30kg,2
2026-09-06,NTB,Khánh Hòa,Thành phố Nha Trang,Xã Vĩnh Phương,239900.00%,(KHO) Bắc Nha Trang,SHOPEE Bulky,2. 20-30kg,1
2026-09-06,NTB,Khánh Hòa,Thành phố Nha Trang,Phường Vĩnh Hải,239900.00%,(KHO) Bắc Nha Trang,TTS Bulky,3. 30-50kg,1
2026-09-06,NTB,Khánh Hòa,Thành phố Nha Trang,Xã Vĩnh Lương,239900.00%,(KHO) Bắc Nha Trang,TTS Bulky,3. 30-50kg,1
2026-09-06,NTB,Khánh Hòa,Thành phố Nha Trang,Xã Phước Đồng,250200.00%,(KHO) Nam Nha Trang 5,TTS,1. 10-20kg,3
2026-09-06,NTB,Khánh Hòa,Thành phố Nha Trang,Xã Phước Đồng,250200.00%,(KHO) Nam Nha Trang 5,SME,1. 10-20kg,1
2026-09-06,NTB,Khánh Hòa,Thành phố Nha Trang,Xã Phước Đồng,250200.00%,(KHO) Nam Nha Trang 5,SHOPEE Bulky,1. 10-20kg,6
2026-09-06,NTB,Khánh Hòa,Thành phố Nha Trang,Xã Phước Đồng,250200.00%,(KHO) Nam Nha Trang 5,SME,2. 20-30kg,1
2026-09-06,NTB,Khánh Hòa,Thành phố Nha Trang,Xã Phước Đồng,250200.00%,(KHO) Nam Nha Trang 5,SHOPEE Bulky,2. 20-30kg,1
2026-09-06,NTB,Khánh Hòa,Huyện Diên Khánh,Xã Diên Điền,2014300000.00%,(KHO) Diên Khánh 2,TTS,1. 10-20kg,2
2026-09-06,NTB,Khánh Hòa,Huyện Diên Khánh,Thị trấn Diên Khánh,2014300000.00%,(KHO) Diên Khánh 2,TTS,1. 10-20kg,2
2026-09-06,NTB,Khánh Hòa,Huyện Diên Khánh,Thị trấn Diên Khánh,2014300000.00%,(KHO) Diên Khánh 2,SME,1. 10-20kg,1
2026-09-06,NTB,Khánh Hòa,Huyện Diên Khánh,Thị trấn Diên Khánh,2014300000.00%,(KHO) Diên Khánh 2,SHOPEE Bulky,1. 10-20kg,3
2026-09-06,NTB,Khánh Hòa,Huyện Diên Khánh,Xã Diên Điền,2014300000.00%,(KHO) Diên Khánh 2,SME,1. 10-20kg,1
2026-09-06,NTB,Khánh Hòa,Huyện Diên Khánh,Xã Suối Hiệp,2014300000.00%,(KHO) Diên Khánh 2,TTS,1. 10-20kg,1
2026-09-06,NTB,Khánh Hòa,Huyện Diên Khánh,Xã Diên Toàn,2014300000.00%,(KHO) Diên Khánh 2,TTS,1. 10-20kg,1
2026-09-06,NTB,Khánh Hòa,Huyện Diên Khánh,Xã Diên Phú,2014300000.00%,(KHO) Diên Khánh 2,SME,1. 10-20kg,1
2026-09-06,NTB,Khánh Hòa,Huyện Diên Khánh,Xã Suối Tiên,2014300000.00%,(KHO) Diên Khánh 2,SHOPEE Bulky,1. 10-20kg,1
2026-09-06,NTB,Khánh Hòa,Huyện Diên Khánh,Xã Diên Toàn,2014300000.00%,(KHO) Diên Khánh 2,SHOPEE Bulky,1. 10-20kg,2
2026-09-06,NTB,Khánh Hòa,Huyện Diên Khánh,Xã Diên Phú,2014300000.00%,(KHO) Diên Khánh 2,SHOPEE Bulky,1. 10-20kg,2
2026-09-06,NTB,Khánh Hòa,Huyện Diên Khánh,Xã Diên Sơn,2014300000.00%,(KHO) Diên Khánh 2,SHOPEE Bulky,1. 10-20kg,3
2026-09-06,NTB,Khánh Hòa,Huyện Diên Khánh,Xã Diên Điền,2014300000.00%,(KHO) Diên Khánh 2,SHOPEE Bulky,1. 10-20kg,2
2026-09-06,NTB,Khánh Hòa,Huyện Diên Khánh,Xã Bình Lộc,2014300000.00%,(KHO) Diên Khánh 2,SHOPEE Bulky,1. 10-20kg,1
2026-09-06,NTB,Khánh Hòa,Huyện Diên Khánh,Xã Diên Toàn,2014300000.00%,(KHO) Diên Khánh 2,SME,1. 10-20kg,2
2026-09-06,NTB,Khánh Hòa,Huyện Diên Khánh,Xã Diên Điền,2014300000.00%,(KHO) Diên Khánh 2,SHOPEE Bulky,2. 20-30kg,1
2026-09-06,NTB,Khánh Hòa,Huyện Diên Khánh,Xã Bình Lộc,2014300000.00%,(KHO) Diên Khánh 2,TTS Bulky,2. 20-30kg,1
2026-09-06,NTB,Khánh Hòa,Huyện Diên Khánh,Xã Suối Hiệp,2014300000.00%,(KHO) Diên Khánh 2,SME,2. 20-30kg,1
2026-09-06,NTB,Khánh Hòa,Huyện Diên Khánh,Xã Suối Hiệp,2014300000.00%,(KHO) Diên Khánh 2,SHOPEE Bulky,4. >50kg,1
2026-09-06,NTB,Bình Thuận,Thành phố Phan Thiết,Phường Hàm Tiến,2014400000.00%,(BTH) Mũi Né,SHOPEE Bulky,1. 10-20kg,7
2026-09-06,NTB,Bình Thuận,Thành phố Phan Thiết,Xã Thiện Nghiệp,2014400000.00%,(BTH) Mũi Né,SHOPEE Bulky,1. 10-20kg,5
2026-09-06,NTB,Bình Thuận,Thành phố Phan Thiết,Phường Mũi Né,2014400000.00%,(BTH) Mũi Né,SHOPEE Bulky,1. 10-20kg,9
2026-09-06,NTB,Bình Thuận,Thành phố Phan Thiết,Xã Thiện Nghiệp,2014400000.00%,(BTH) Mũi Né,SME,1. 10-20kg,1
2026-09-06,NTB,Bình Thuận,Thành phố Phan Thiết,Phường Mũi Né,2014400000.00%,(BTH) Mũi Né,SME,1. 10-20kg,2
2026-09-06,NTB,Bình Thuận,Thành phố Phan Thiết,Phường Hàm Tiến,2014400000.00%,(BTH) Mũi Né,TTS,1. 10-20kg,1
2026-09-06,NTB,Bình Thuận,Thành phố Phan Thiết,Xã Thiện Nghiệp,2014400000.00%,(BTH) Mũi Né,SHOPEE Bulky,3. 30-50kg,1
2026-09-06,NTB,Ninh Thuận,Huyện Ninh Sơn,Xã Nhơn Sơn,2015000000.00%,(NTH) Bảo An,SHOPEE Bulky,1. 10-20kg,2
2026-09-06,NTB,Ninh Thuận,Thành phố Phan Rang – Tháp Chàm,Xã Thành Hải,2015000000.00%,(NTH) Bảo An,SHOPEE Bulky,1. 10-20kg,6
2026-09-06,NTB,Ninh Thuận,Huyện Ninh Sơn,Xã Nhơn Sơn,2015000000.00%,(NTH) Bảo An,SME,1. 10-20kg,5
