Mã bưu cục,Mã đơn hàng,Loại đơn,Khách hàng,Trạng thái,Thời gian tồn đọng,warehouse_name
22483000,GYYPGAC9,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,(BTH) Hàm Thuận
22312000,GYY3PVL6,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,(LDO) Lâm Viên - Đà Lạt 1
22483000,GYYPV7R4,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,(BTH) Hàm Thuận
22312000,GYY3BHH3,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,(LDO) Lâm Viên - Đà Lạt 1
22483000,GYYPPB7N,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,(BTH) Hàm Thuận
22312000,VNGH80272839109,Luân chuyển trả,TTS,Chưa đóng kiện,6_12,(LDO) Lâm Viên - Đà Lạt 1
22222000,VNGH80701679106,Luân chuyển trả,TTS,Không cần đóng kiện,6_12,(LDO) Bảo Lâm 1
22312000,VNGH80395779105,Luân chuyển trả,TTS,Chưa đóng kiện,6_12,(LDO) Lâm Viên - Đà Lạt 1
22222000,VNGH80126159105,Luân chuyển trả,TTS,Không cần đóng kiện,6_12,(LDO) Bảo Lâm 1
22312000,VNGH80505959107,Luân chuyển trả,TTS,Chưa đóng kiện,6_12,(LDO) Lâm Viên - Đà Lạt 1
22222000,VNGH80663239107,Luân chuyển trả,TTS,Chưa đóng kiện,6_12,(LDO) Bảo Lâm 1
22312000,VNGH80928199105,Luân chuyển trả,TTS,Chưa đóng kiện,6_12,(LDO) Lâm Viên - Đà Lạt 1
22222000,VNGH80779309008,Luân chuyển trả,TTS,Chưa đóng kiện,6_12,(LDO) Bảo Lâm 1
22312000,VNGH80774049102,Luân chuyển trả,TTS,Chưa đóng kiện,6_12,(LDO) Lâm Viên - Đà Lạt 1
22483000,GYYPTWXL,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,(BTH) Hàm Thuận
22312000,VNGH80111749105,Luân chuyển trả,TTS,Chưa đóng kiện,6_12,(LDO) Lâm Viên - Đà Lạt 1
22312000,VNGH80137829103,Luân chuyển trả,TTS,Chưa đóng kiện,6_12,(LDO) Lâm Viên - Đà Lạt 1
22312000,VNGH80793069104,Luân chuyển trả,TTS,Chưa đóng kiện,6_12,(LDO) Lâm Viên - Đà Lạt 1
22425000,GYYN3CGQ,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,(LDO) Tân Hà Lâm Hà
22483000,FHS38483097,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,(BTH) Hàm Thuận
22425000,GYYNKVKM,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,(LDO) Tân Hà Lâm Hà
20269003,GYY6EYCA,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,(DNO) Nhân Cơ
22483000,GYY3DCDD,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,(BTH) Hàm Thuận
20269003,GYYNFNC7,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,(DNO) Nhân Cơ
20942000,VNGH80260449103,Luân chuyển trả,TTS,Chưa đóng kiện,24_36,(LDO) Di Linh
20269003,GYYDQHHT,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,(DNO) Nhân Cơ
22483000,GYY34PW4,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,(BTH) Hàm Thuận
20269003,GYYDUVDA,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,(DNO) Nhân Cơ
20269003,NVS842241771,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,(DNO) Nhân Cơ
20269003,VNGH80795589101,Luân chuyển trả,TTS,Chưa đóng kiện,6_12,(DNO) Nhân Cơ
22425000,GYYNEUEP,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,(LDO) Tân Hà Lâm Hà
20269003,VNGH80659229104,Luân chuyển trả,TTS,Chưa đóng kiện,6_12,(DNO) Nhân Cơ
22483000,VNGH80309939102,Luân chuyển trả,TTS,Chưa đóng kiện,6_12,(BTH) Hàm Thuận
22425000,GYYDNHEF,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,(LDO) Tân Hà Lâm Hà
22389000,VNGH80488239105,Luân chuyển trả,TTS,Chưa đóng kiện,6_12,(LDO) Đức Trọng 1
22425000,GYYDP3VP,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,(LDO) Tân Hà Lâm Hà
20495000,GYYHDBDW,Luân chuyển trả,SHOPEE,Chưa đóng kiện,12_24,(KHO) Nha Trang
22425000,GYYPQ9V9,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,(LDO) Tân Hà Lâm Hà
20495000,NVS845042658,Luân chuyển trả,OTHER,Chưa đóng kiện,12_24,(KHO) Nha Trang
22425000,GYYPBY9F,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,(LDO) Tân Hà Lâm Hà
20495000,GYYHG7PA,Luân chuyển giao,OTHER,Chưa đóng kiện,12_24,(KHO) Nha Trang
21377000,GYYPBGTN,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,(LDO) Đơn Dương
21687000,GYYPQG6U,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,(LDO) Lang Biang - Đà Lạt 2
22051000,GYYP6E8M,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,(LDO) Lang Biang - Đà Lạt 1
20495000,GYYHU3N6_PR,Luân chuyển giao,OTHER,Chưa đóng kiện,12_24,(KHO) Nha Trang
22051000,VNGH80436829107,Luân chuyển trả,TTS,Chưa đóng kiện,6_12,(LDO) Lang Biang - Đà Lạt 1
20495000,GYYDF3EC,Luân chuyển trả,OTHER,Chưa đóng kiện,24_36,(KHO) Nha Trang
20495000,GYY4ENN9,Luân chuyển trả,SHOPEE,Chưa đóng kiện,24_36,(KHO) Nha Trang
20495000,VNGH80130089101,Luân chuyển trả,TTS,Đã đóng kiện,48_72,(KHO) Nha Trang
22051000,VNGH80915119106,Luân chuyển trả,TTS,Chưa đóng kiện,6_12,(LDO) Lang Biang - Đà Lạt 1
22242000,GYYNW3H7,Luân chuyển trả,OTHER,Chưa đóng kiện,12_24,(DNO) Bắc Gia Nghĩa
22051000,VNGH80801049109,Luân chuyển trả,TTS,Chưa đóng kiện,6_12,(LDO) Lang Biang - Đà Lạt 1
22242000,GYYTBTGH,Luân chuyển giao,OTHER,Chưa đóng kiện,12_24,(DNO) Bắc Gia Nghĩa
21396000,GYYHRHKG,Luân chuyển trả,SHOPEE,Chưa đóng kiện,12_24,(BTH) Hàm Thắng
22242000,GYYWL6G8,Luân chuyển trả,SHOPEE,Không cần đóng kiện,12_24,(DNO) Bắc Gia Nghĩa
21396000,GYYHGHWC,Luân chuyển trả,OTHER,Chưa đóng kiện,12_24,(BTH) Hàm Thắng
22242000,GYY3BKCH,Luân chuyển giao,OTHER,Chưa đóng kiện,12_24,(DNO) Bắc Gia Nghĩa
21396000,GYYKDHXW,Luân chuyển trả,OTHER,Chưa đóng kiện,12_24,(BTH) Hàm Thắng
21396000,GYYXHRGB,Luân chuyển trả,OTHER,Chưa đóng kiện,12_24,(BTH) Hàm Thắng
21722000,GYYB9TED,Luân chuyển trả,OTHER,Chưa đóng kiện,6_12,(KHO) Tu Bông
22242000,GYYNHVG4,Luân chuyển trả,OTHER,Không cần đóng kiện,12_24,(DNO) Bắc Gia Nghĩa
21396000,GYYHB9PC_1,Luân chuyển giao,OTHER,Không cần đóng kiện,12_24,(BTH) Hàm Thắng
22051000,VNGH80439659109,Luân chuyển trả,TTS,Chưa đóng kiện,6_12,(LDO) Lang Biang - Đà Lạt 1
