Cấp Quản Lý,Chi tiết,Loại Hàng,Time,Volume,% Gán,% GTC,% Chuyển trả,Leadtime,Sản Lượng Giao Thành Công,Sản Lượng Chuyển Trả,Sản Lượng Gán,Sản Lượng Trả,Sản Lượng Tồn,Sản Lượng Chưa Gán,% Chưa Gán,%Tồn,Hàng Mới Về Trong Ngày,Tỉnh,Vùng,AM
NTB - Đắk Nông,(DNO) Đức Lập,Hàng Mới Ca 1,2026-07-13 - Thứ 2,88,1,0.8182,0.0114,18.69,72.0016,1.0032,88,1.0032,14.9952,0,0,0.1704,88,Đắk Nông,NTB,AM Nhung
NTB - Đắk Nông,(DNO) Đức Lập,Hàng Mới Ca 1,2026-06-23 - Thứ 3,66,0.9545,0.7727,0.0152,20.35,50.9982,1.0032,62.997,1.0032,13.9986,3.003,0.0455,0.2121,66,Đắk Nông,NTB,AM Nhung
NTB - Đắk Nông,(DNO) Đức Lập,Hàng Mới Ca 1,2026-07-10 - Thứ 6,159,1,0.8176,0.0126,19.08,129.9984,2.0034,159,2.0034,26.9982,0,0,0.1698,159,Đắk Nông,NTB,AM Nhung
NTB - Đắk Nông,(DNO) Đức Lập,Hàng Mới Ca 1,2026-07-08 - Thứ 4,83,1,0.8795,0.0241,17.42,72.9985,2.0003,83,2.0003,8.0012,0,0,0.0964,83,Đắk Nông,NTB,AM Nhung
NTB - Đắk Nông,(DNO) Đức Lập,Hàng Mới Ca 1,2026-06-22 - Thứ 2,173,0.9769,0.7514,0.0347,18.89,129.9922,6.0031,169.0037,6.0031,37.0047,3.9963,0.0231,0.2139,173,Đắk Nông,NTB,AM Nhung
NTB - Đắk Nông,(DNO) Đức Lập,Hàng Mới Ca 1,2026-06-20 - Thứ 7,79,1,0.8354,0,19.91,65.9966,0,79,0,13.0034,0,0,0.1646,79,Đắk Nông,NTB,AM Nhung
NTB - Đắk Nông,(DNO) Đức Lập,Hàng Mới Ca 1,2026-06-30 - Thứ 3,62,1,0.8548,0.0161,16.47,52.9976,0.9982,62,0.9982,8.0042,0,0,0.1291,62,Đắk Nông,NTB,AM Nhung
NTB - Đắk Nông,(DNO) Đức Lập,Hàng Mới Ca 1,2026-07-06 - Thứ 2,58,1,0.8793,0.0172,17.28,50.9994,0.9976,58,0.9976,6.003,0,0,0.1035,58,Đắk Nông,NTB,AM Nhung
NTB - Đắk Nông,(DNO) Đức Lập,Hàng Mới Ca 1,2026-06-27 - Thứ 7,104,0.9904,0.8173,0.0385,16.74,84.9992,4.004,103.0016,4.004,14.9968,0.9984,0.0096,0.1442,104,Đắk Nông,NTB,AM Nhung
NTB - Đắk Nông,(DNO) Đức Lập,Hàng Mới Ca 1,2026-07-09 - Thứ 5,123,1,0.8455,0.0163,16.69,103.9965,2.0049,123,2.0049,16.9986,0,0,0.1382,123,Đắk Nông,NTB,AM Nhung
NTB - Đắk Nông,(DNO) Đức Lập,Hàng Mới Ca 1,2026-06-25 - Thứ 5,100,1,0.78,0.02,19.23,78,2,100,2,20,0,0,0.2,100,Đắk Nông,NTB,AM Nhung
